aid,appver,lg,qanswer,qno,ts
941a7b2035e758bf0695ec0cea49f45541d81615ef7a1242c9f5573fd1b1eeb8,1.0.15 (49),es,"Q2: false,false,false,false,false",2,2021-07-26T19:41:11.617Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.15 (50),es,Q5: n/a,5,2021-07-26T21:04:13.597Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.15 (50),es,Q7: n/a,7,2021-07-26T21:04:13.598Z
d8eefb20e4173e7783a606413c32d17e41b7968069de4e5d5b5ce63e8089a1a2,1.0.15 (50),es,Q6: n/a,6,2021-07-26T21:04:13.598Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.15 (49),es,"Q1: true,true,false,false,false,false",1,2021-07-26T23:10:40.888Z
e75e76ca39408cc5beb9aedaac364559ba45529e0c236f7df7c6d5030dcdde66,1.0.15 (49),es,"Q2: false,false,false,false,false",2,2021-07-26T23:10:40.890Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.15 (50),es,"Q5: true,false,false,false",5,2021-07-28T19:28:01.681Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.15 (50),es,"Q6: true,false,false",6,2021-07-28T19:28:01.683Z
e60599d6d291c15e0550f465f0a5ab38fad0c74eeca6ea10f5e0e41f6196d15c,1.0.15 (50),es,"Q7: true,false,false",7,2021-07-28T19:28:01.683Z
6e7f23f133a72a0faf5aa5f226a157ce7b7ef17bba51e53cb5e6fb968a76a3e8,1.0.15 (50),en,"Q1: false,false,false,true,false,false",1,2021-07-29T02:22:56.532Z
6e7f23f133a72a0faf5aa5f226a157ce7b7ef17bba51e53cb5e6fb968a76a3e8,1.0.15 (50),en,"Q2: true,false,false,false,false",2,2021-07-29T02:22:56.534Z
e86a61671a59c9b8f0e34aa0cd867d994b76352289f4c5fc70fe6c2bea588eaf,1.0.15 (50),es,Q1: n/a,1,2021-07-30T14:23:20.462Z
e86a61671a59c9b8f0e34aa0cd867d994b76352289f4c5fc70fe6c2bea588eaf,1.0.15 (50),es,Q2: n/a,2,2021-07-30T14:23:20.463Z
eda37809e52446a5dafbc6d7995c41a7879539a5548948ce2183723fe4bcab77,1.0.15 (49),en,Q1: n/a,1,2021-07-31T04:10:51.537Z
eda37809e52446a5dafbc6d7995c41a7879539a5548948ce2183723fe4bcab77,1.0.15 (49),en,Q2: n/a,2,2021-07-31T04:10:51.538Z
