aid,epaReg,prodName,sourcePage,evType,ts
08c4d21ec4caf335321966da5cccb27526f1ce41f4e45bac4ad634bac7cded7e,279-3241,AIM EC HERBICIDE,PICOL,evDownloadLabel,2021-02-02T21:14:30.067Z
5396bcf828cb487b3b3e04ef34e2fb7a1538107652810ac9dca159a08947171c,42750-60,GLY STAR ORIGINAL,PICOL,evDownloadLabel,2021-02-02T21:15:13.302Z
3a7c048f39e61a0bbc74587192c898890a6c18a471bb3b1f1097fa86e75c6d18,59639-209,Asana® XL Insecticide,H&S,evDownloadLabel,2021-02-02T21:24:59.826Z
3a7c048f39e61a0bbc74587192c898890a6c18a471bb3b1f1097fa86e75c6d18,59639-209,Asana® XL Insecticide,H&S,evDownloadLabel,2021-02-02T21:25:13.458Z
fbb12a587b6226d4397a86a89819547e8d591a5119d6740887543f974e9762c2,62719-591,Lorsban® Advanced,H&S,evDownloadLabel,2021-02-02T21:26:40.734Z
5396bcf828cb487b3b3e04ef34e2fb7a1538107652810ac9dca159a08947171c,62719-591,Lorsban® Advanced,H&S,evDownloadLabel,2021-02-02T21:27:15.947Z
371a5a0abedee8b7bf12e52e7aceace6c39bc5b66c4b2cfba00ede5cc9751323,62719-591,Lorsban® Advanced,H&S,evDownloadLabel,2021-02-02T21:27:40.030Z
371a5a0abedee8b7bf12e52e7aceace6c39bc5b66c4b2cfba00ede5cc9751323,264-806,Calypso® 4 Flowable Insecticide,H&S,evDownloadLabel,2021-02-02T21:29:40.951Z
5396bcf828cb487b3b3e04ef34e2fb7a1538107652810ac9dca159a08947171c,85208-1-73015,VINAGREEN,PICOL,evDownloadLabel,2021-02-02T21:40:07.068Z
4ad4f38227e838ced3e4b09122585340d49e70217b28cd46fa092c14eac109b9,2935-546,470 SUPREME SPRAY OIL,PICOL,evDownloadLabel,2021-02-02T21:46:35.293Z
371a5a0abedee8b7bf12e52e7aceace6c39bc5b66c4b2cfba00ede5cc9751323,8033-23-70506,ASSAIL 70WP INSECTICIDE,PICOL,evDownloadLabel,2021-02-02T21:47:07.254Z
371a5a0abedee8b7bf12e52e7aceace6c39bc5b66c4b2cfba00ede5cc9751323,8033-23-70506,ASSAIL 70WP INSECTICIDE,PICOL,evDownloadLabel,2021-02-02T21:47:27.760Z
371a5a0abedee8b7bf12e52e7aceace6c39bc5b66c4b2cfba00ede5cc9751323,8033-23,ASSAIL 70WP INSECTICIDE,PICOL,evDownloadLabel,2021-02-02T21:47:56.245Z
4a3a7f86095a34ab165516a8da2d97f80e276af657c6eec30eb0553398aa9e03,8033-23-70506,Assail® 70WP Insecticide,H&S,evDownloadLabel,2021-02-02T21:51:48.139Z
